C,H,O,Moisture,Ash,ER,T,Steam/Biomass,Bed_material,床型,GY
38.43,2.97,36.36,9.95,19.52,0.3,750,1.7,Silica sand,bubbling fluidised bed,1.21
38.43,2.97,36.36,9.95,19.52,0.3,650,1.32,Silica sand,bubbling fluidised bed,1.03
38.43,2.97,36.36,9.95,19.52,0.3,730,1.32,Silica sand,bubbling fluidised bed,1.16
38.43,2.97,36.36,9.95,19.52,0.3,770,1.32,Silica sand,bubbling fluidised bed,1.21
48.69,5.62,38.07,6,0.77,0.2,675,0,Silica sand,bubbling fluidised bed,1.52
48.69,5.62,38.07,6,0.77,0.25,716,0,Silica sand,bubbling fluidised bed,1.82
48.69,5.62,38.07,6,0.77,0.31,823,0,Silica sand,bubbling fluidised bed,2.08
48.69,5.62,38.07,6,0.77,0.34,845,0,Silica sand,bubbling fluidised bed,2.26
51.26,5.54,42.29,8,0.5,0.3,800,0.85,Silica sand,bubbling fluidised bed,1.56
51.26,5.54,42.29,8,0.5,0.28,800,0.75,Silica sand,bubbling fluidised bed,1.41
51.26,5.54,42.29,8,0.5,0.25,800,0.9,Silica sand,bubbling fluidised bed,1.87
51.26,5.54,42.29,8,0.5,0.22,800,0.83,Silica sand,bubbling fluidised bed,2.3
39.78,4.97,40.02,6,14.57,0.26,713,0,Silica sand,bubbling fluidised bed,1.72
39.78,4.97,40.02,6,14.57,0.26,968,0,Silica sand,circulating fluidized bed,1.98
39.78,4.97,40.02,6,14.57,0.19,687,0,Silica sand,circulating fluidized bed,1.28
39.78,4.97,40.02,6,14.57,0.2,750,0,Silica sand,circulating fluidized bed,1.34
39.78,4.97,40.02,6,14.57,0.22,918,0,Silica sand,circulating fluidized bed,1.67
39.78,4.97,40.02,6,14.57,0.28,1036,0,Silica sand,circulating fluidized bed,2.07
39.78,4.97,40.02,6,14.57,0.31,767,0,Silica sand,bubbling fluidised bed,2.04
39.78,4.97,40.02,6,14.57,0.34,787,0,Silica sand,bubbling fluidised bed,2.05
50.54,7.08,41.11,8,0.55,0.22,700,2.7,Silica sand,fluidised bed,1.43
