C,H,O,Moisture,Ash,ER,T,Steam/Biomass,Bed_material_10 % dolomite 90 % Silica sand ,Bed_material_20 % dolomite 80 % Silica sand ,Bed_material_30 % dolomite 70 % Silica sand ,Bed_material_310S,Bed_material_Alumina,Bed_material_Calcined dolomite and nickel based catalysts,Bed_material_Ofite,Bed_material_Olivine,Bed_material_Silica sand,Bed_material_dolomite,"床型_atmospheric pressure, indirectly heated, fluidized bed",床型_bubbling fluidised bed,床型_circulating fluidized bed,床型_continuous fluidized bed,床型_fluidised bed
65.25,9.1,20.74,3.82,4.23,0.5,700,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
65.25,9.1,20.74,3.82,4.23,0.5,800,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
65.25,9.1,20.74,3.82,4.23,0.5,900,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
51.6,6.2,40.4,9.7,0.7,0.3,718,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
51.8,6.2,40.6,10.0,0.4,0.3,815,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
51.8,6.2,40.6,8.8,0.4,0.3,772,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
51.8,6.2,40.6,9.2,0.4,0.3,787,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
50.4,6.25,41.6,10.0,0.7,0.3,766,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
51.8,6.2,40.6,15.0,0.7,0.3,752,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
51.8,6.2,40.6,14.7,0.7,0.3,789,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
48.9,7.86,40.3,6.6,2.67,0.3,728,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
48.9,7.86,40.3,4.2,2.67,0.3,805,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
49.1,7.26,39.5,10.4,3.34,0.3,701,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
50.0,5.7,44.1,22.0,0.85,0.26,800,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
45.89,5.64,47.18,8.5,1.1,0.38,791,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
50.54,7.08,41.11,8.0,0.55,0.22,800,2.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
50.54,7.08,41.11,8.0,0.55,0.23,800,1.56,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
50.54,7.08,41.11,8.0,0.55,0.22,800,2.02,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
49.47,5.79,41.94,6.28,0.71,0.19,727,0.28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
49.47,5.79,41.94,6.28,0.71,0.33,804,0.22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
45.04,6.4,21.58,6.91,18.87,0.42,857,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
46.4,5.33,32.13,8.66,14.21,0.43,870,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
42.68,3.3,31.72,9.95,21.68,0.35,800,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
46.26,6.68,25.34,6.4,20.78,0.26,849,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
46.26,6.68,25.34,6.4,20.78,0.33,932,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
47.2,6.2,39.7,7.8,4.88,0.25,1050,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
52.65,6.83,35.68,14.6,0.47,0.25,650,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
